epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.3941,1.43911,2.12387,1.02747,0.25514,0.33703,0.23456,0.13979,1.23427,2.43318,0.89801,0.0002312,0.0002312,0.0002312
2,53.4481,1.37226,1.22446,0.98878,0.30051,0.31498,0.23761,0.13196,1.30233,1.74674,0.91745,0.000462564,0.000462564,0.000462564
3,80.9019,1.45936,1.17863,0.98897,0.54653,0.26847,0.27559,0.16057,1.26706,1.15089,0.91259,0.000687196,0.000687196,0.000687196
4,110.455,1.41728,1.12549,0.9879,0.4094,0.29396,0.29249,0.16836,1.2553,1.12678,0.90298,0.000683706,0.000683706,0.000683706
5,138.642,1.40727,1.09852,0.97525,0.47397,0.35254,0.34005,0.19686,1.25035,0.97583,0.89643,0.000673608,0.000673608,0.000673608
6,166.751,1.33605,1.03833,0.96569,0.47057,0.32141,0.33633,0.20325,1.22759,1.09896,0.89072,0.00066351,0.00066351,0.00066351
7,194.907,1.34281,1.03846,0.98534,0.42252,0.34632,0.3373,0.19888,1.23419,0.97193,0.89036,0.000653412,0.000653412,0.000653412
8,223.011,1.38006,1.03112,0.97323,0.39115,0.34748,0.29238,0.16757,1.22779,1.21862,0.88867,0.000643314,0.000643314,0.000643314
9,250.772,1.37891,0.99803,0.96025,0.50083,0.36821,0.36828,0.22145,1.20763,0.95595,0.88424,0.000633216,0.000633216,0.000633216
10,278.879,1.35236,0.98217,0.96673,0.51665,0.39834,0.41285,0.24275,1.21284,0.86765,0.88166,0.000623118,0.000623118,0.000623118
11,307.043,1.28667,0.93418,0.94731,0.52532,0.38394,0.40396,0.24207,1.17806,0.90447,0.87034,0.00061302,0.00061302,0.00061302
12,334.809,1.26273,0.90039,0.93788,0.50979,0.38322,0.39893,0.2395,1.17388,0.86244,0.8676,0.000602922,0.000602922,0.000602922
13,362.545,1.31639,0.91351,0.95115,0.51907,0.3875,0.40302,0.23522,1.18901,0.86007,0.87495,0.000592824,0.000592824,0.000592824
14,390.38,1.26956,0.89549,0.9351,0.49905,0.41377,0.41044,0.24419,1.16736,0.8694,0.86966,0.000582726,0.000582726,0.000582726
15,418.585,1.27573,0.91071,0.94817,0.44273,0.40389,0.39137,0.2297,1.19781,0.90143,0.87244,0.000572628,0.000572628,0.000572628
16,446.5,1.28835,0.87726,0.93722,0.54012,0.39759,0.42405,0.25763,1.17189,0.86393,0.86896,0.00056253,0.00056253,0.00056253
17,474.603,1.22075,0.83326,0.93509,0.53856,0.41932,0.4193,0.24669,1.17951,0.849,0.86891,0.000552432,0.000552432,0.000552432
18,502.261,1.22492,0.82358,0.93068,0.49469,0.43158,0.41139,0.24208,1.17851,0.8466,0.87247,0.000542334,0.000542334,0.000542334
19,529.929,1.21961,0.82841,0.92017,0.54939,0.38964,0.40652,0.23648,1.19891,0.85543,0.88247,0.000532236,0.000532236,0.000532236
20,557.74,1.27904,0.86203,0.93346,0.49057,0.40279,0.40808,0.23466,1.20839,0.88005,0.87505,0.000522138,0.000522138,0.000522138
21,585.578,1.24506,0.8464,0.93114,0.53562,0.42166,0.43578,0.25845,1.17675,0.83572,0.87022,0.00051204,0.00051204,0.00051204
22,613.754,1.24894,0.82535,0.93167,0.54197,0.41873,0.43277,0.25683,1.16957,0.84988,0.86836,0.000501942,0.000501942,0.000501942
23,641.533,1.17786,0.76377,0.91811,0.57139,0.42652,0.44883,0.26433,1.16131,0.81227,0.86506,0.000491844,0.000491844,0.000491844
24,669.637,1.18707,0.77605,0.91563,0.54106,0.41559,0.43352,0.25883,1.17949,0.85234,0.86971,0.000481746,0.000481746,0.000481746
25,697.696,1.16546,0.75501,0.91326,0.54884,0.43399,0.44435,0.26663,1.14416,0.8297,0.86503,0.000471648,0.000471648,0.000471648
26,725.974,1.19674,0.76518,0.91105,0.53422,0.44025,0.44187,0.26256,1.15283,0.83972,0.86144,0.00046155,0.00046155,0.00046155
27,753.868,1.14059,0.72655,0.90812,0.54273,0.42902,0.4449,0.26164,1.15803,0.83198,0.86632,0.000451452,0.000451452,0.000451452
28,781.822,1.1587,0.73969,0.90653,0.52392,0.43871,0.44348,0.26597,1.16261,0.83964,0.86384,0.000441354,0.000441354,0.000441354
29,809.979,1.19758,0.75649,0.90775,0.54972,0.44679,0.45406,0.26689,1.16408,0.83394,0.86972,0.000431256,0.000431256,0.000431256
30,838.356,1.15945,0.72041,0.90099,0.56216,0.44039,0.46093,0.27332,1.13505,0.82247,0.86366,0.000421158,0.000421158,0.000421158
31,866.605,1.15534,0.72348,0.90501,0.57188,0.44542,0.46597,0.27862,1.15117,0.81526,0.85807,0.00041106,0.00041106,0.00041106
32,894.815,1.1521,0.7107,0.91207,0.54946,0.44369,0.4579,0.26881,1.13754,0.82725,0.85912,0.000400962,0.000400962,0.000400962
33,922.67,1.13813,0.69989,0.90284,0.58291,0.43818,0.45884,0.27831,1.13563,0.82976,0.85939,0.000390864,0.000390864,0.000390864
34,950.579,1.15564,0.70962,0.90104,0.55051,0.45175,0.46185,0.27674,1.15975,0.82805,0.86452,0.000380766,0.000380766,0.000380766
35,978.539,1.15954,0.70439,0.89963,0.60149,0.4308,0.46567,0.2836,1.13461,0.8242,0.85681,0.000370668,0.000370668,0.000370668
